[B5S2] : dis=26  2021-04-24 05:40:35.126  net_delay = 27ms  time_gap =2.639s  termId = 233
[B5S2] : dis=25  2021-04-24 05:40:35.186  net_delay = 30ms  time_gap =0.060s  termId = 234
[B5S2] : dis=25  2021-04-24 05:40:38.227  net_delay = 26ms  time_gap =3.041s  termId = 235
[B5S2] : dis=25  2021-04-24 05:40:41.287  net_delay = 27ms  time_gap =3.060s  termId = 236
[B5S2] : dis=25  2021-04-24 05:40:44.345  net_delay = 29ms  time_gap =3.058s  termId = 237
[B5S2] : dis=25  2021-04-24 05:40:47.360  net_delay = 27ms  time_gap =3.015s  termId = 238
[B5S2] : dis=25  2021-04-24 05:40:50.369  net_delay = 27ms  time_gap =3.009s  termId = 239
[B5S2] : dis=25  2021-04-24 05:40:53.375  net_delay = 28ms  time_gap =3.006s  termId = 240
[B5S2] : dis=25  2021-04-24 05:40:56.379  net_delay = 27ms  time_gap =3.004s  termId = 241
[B5S2] : dis=25  2021-04-24 05:40:59.414  net_delay = 32ms  time_gap =3.035s  termId = 242
[B5S2] : dis=25  2021-04-24 05:41:02.445  net_delay = 28ms  time_gap =3.031s  termId = 243
[B5S2] : dis=25  2021-04-24 05:41:05.489  net_delay = 26ms  time_gap =3.044s  termId = 244
[B5S2] : dis=25  2021-04-24 05:41:08.537  net_delay = 27ms  time_gap =3.048s  termId = 245
[B5S2] : dis=25  2021-04-24 05:41:11.557  net_delay = 30ms  time_gap =3.020s  termId = 246
[B5S2] : dis=25  2021-04-24 05:41:14.578  net_delay = 26ms  time_gap =3.021s  termId = 247
[B5S2] : dis=25  2021-04-24 05:41:17.594  net_delay = 27ms  time_gap =3.016s  termId = 248
[B5S2] : dis=25  2021-04-24 05:41:20.629  net_delay = 32ms  time_gap =3.035s  termId = 249
[B5S2] : dis=25  2021-04-24 05:41:23.656  net_delay = 27ms  time_gap =3.027s  termId = 250
[B5S2] : dis=25  2021-04-24 05:41:26.682  net_delay = 27ms  time_gap =3.026s  termId = 251
[B5S2] : dis=25  2021-04-24 05:41:29.700  net_delay = 27ms  time_gap =3.018s  termId = 252
[B5S2] : dis=25  2021-04-24 05:41:32.724  net_delay = 27ms  time_gap =3.024s  termId = 253
[B5S2] : dis=25  2021-04-24 05:41:35.776  net_delay = 25ms  time_gap =3.052s  termId = 254
[B5S2] : dis=25  2021-04-24 05:41:38.791  net_delay = 29ms  time_gap =3.015s  termId = 255
[B5S2] : dis=25  2021-04-24 05:41:41.824  net_delay = 29ms  time_gap =3.033s  termId = 256
[B5S2] : dis=25  2021-04-24 05:41:44.846  net_delay = 29ms  time_gap =3.022s  termId = 257
[B5S2] : dis=25  2021-04-24 05:41:47.867  net_delay = 28ms  time_gap =3.021s  termId = 258
[B5S2] : dis=25  2021-04-24 05:41:50.897  net_delay = 28ms  time_gap =3.030s  termId = 259
[B5S2] : dis=25  2021-04-24 05:41:59.996  net_delay = 30ms  time_gap =9.099s  termId = 262
[B5S2] : dis=25  2021-04-24 05:42:06.051  net_delay = 29ms  time_gap =6.055s  termId = 264
[B5S2] : dis=25  2021-04-24 05:42:12.118  net_delay = 34ms  time_gap =6.067s  termId = 266
[B5S2] : dis=26  2021-04-24 05:42:14.505  net_delay =3002ms  time_gap =2.387s  termId = 267
[B5S2] : dis=25  2021-04-24 05:42:31.979  net_delay =4061ms  time_gap =17.474s  termId = 275
[B5S2] : dis=25  2021-04-24 05:42:38.056  net_delay =2669ms  time_gap =6.077s  termId = 277
[B5S2] : dis=25  2021-04-24 05:42:41.093  net_delay = 29ms  time_gap =3.037s  termId = 278
[B5S2] : dis=25  2021-04-24 05:42:44.127  net_delay =2561ms  time_gap =3.034s  termId = 279
[B5S2] : dis=25  2021-04-24 05:42:49.138  net_delay = 28ms  time_gap =5.011s  termId = 284
[B5S2] : dis=25  2021-04-24 05:42:55.213  net_delay = 28ms  time_gap =6.075s  termId = 286
[B5S2] : dis=25  2021-04-24 05:43:01.282  net_delay = 28ms  time_gap =6.069s  termId = 288
[B5S2] : dis=25  2021-04-24 05:43:04.308  net_delay =1362ms  time_gap =3.026s  termId = 289
[B5S2] : dis=25  2021-04-24 05:43:07.356  net_delay = 27ms  time_gap =3.048s  termId = 290
[B5S2] : dis=25  2021-04-24 05:43:13.380  net_delay = 28ms  time_gap =6.024s  termId = 292
[B5S2] : dis=25  2021-04-24 05:43:19.485  net_delay = 30ms  time_gap =6.105s  termId = 294
[B5S2] : dis=26  2021-04-24 05:43:19.640  net_delay = 31ms  time_gap =0.155s  termId = 295
[B5S2] : dis=25  2021-04-24 05:43:19.728  net_delay = 28ms  time_gap =0.088s  termId = 296
[B5S2] : dis=25  2021-04-24 05:43:25.815  net_delay = 28ms  time_gap =6.087s  termId = 298
[B5S2] : dis=25  2021-04-24 05:43:31.870  net_delay = 28ms  time_gap =6.055s  termId = 300
[B5S2] : dis=27  2021-04-24 05:43:36.873  net_delay = 28ms  time_gap =5.003s  termId = 302
[B5S2] : dis=25  2021-04-24 05:43:36.934  net_delay = 29ms  time_gap =0.061s  termId = 303
